nombre;apellidos;email;fecha;pass
jorge;manrique sempere;jorgemanrique_sempere@invent.com;17/06/1986;$2y$10$vHd/YSU4qy9l0is3n8aHmeJwNz7oLsTqW0uz9Wsq5ABP5ljL9aHFa
antonio;abreu rocha;antonioabreu_rocha@invent.com;20/04/1957;$2y$10$K413swUYBnGTJj9l2Ns32utgHdL1jCIYd3OK1heEUeydbQLMNeNv.
manuel;bellido martorell;manuelbellido_martorell@invent.com;10/07/1960;$2y$10$OOwBXBLsZkodvwtJwXBC6ep.GjkGdLf3zkeXc1aMrjtZUyGSNxJsK
jose;peiro rios;josepeiro_rios@invent.com;11/05/1989;$2y$10$yvc5/Bwb460ig6MFkljwBe2O799kiU16Lthxra0Ph3r3Aua.SX1iO
francisco;clemente muñiz;franciscoclemente_muniz@invent.com;09/11/1968;$2y$10$jiwdUc02tF/bZtxPRonVIORz2MSY1FBuym.hqkg29kaFnxBLIH1Ve
david;sales aragones;davidsales_aragones@invent.com;18/08/1961;$2y$10$jfQld4GOPh94Y/ddRoO49eGyZSHvsGmKx6kLSaxlGRUTNW6oOuQ2C
juan;uriarte aguilar;juanuriarte_aguilar@invent.com;08/05/1986;$2y$10$SWYxHjyKKCzYXjYDkf24NegNoeDMTL3IkMKQ89YGxXKkuFqvmKWnW
javier;canovas guerrero;javiercanovas_guerrero@invent.com;14/02/1961;$2y$10$DhkLcqJKFWuE3fWXoMKhkuaRBtMXE.N06BofEYVxJi0tGVVQ2m59i
jose antonio;pina seco;jose_antoniopina_seco@invent.com;21/05/2002;$2y$10$GR7gztYu4r.RZ1ZcMfUWduXHRT1JohHUd5DwzHOjpMqMDfuBQvUP2
daniel;frutos amat;danielfrutos_amat@invent.com;10/05/1994;$2y$10$uJF4ABTHhZEpDy/eL6T1w.x9hFeRVZbiZdyLvfIVc5.EThrA4WraS
francisco javier;borja alcazar;francisco_javierborja_alcazar@invent.com;27/02/1960;$2y$10$CnuPS5c.eqyCfI0N0DmHY.x.3SaidkvYvYO2PdCLq77peAi4ttsYO
jose luis;lozano alcazar;jose_luislozano_alcazar@invent.com;10/05/1977;$2y$10$OlaM6CrgpG1iou5zWe7rfegkqbbjkpnTilF4bXPf73uPH0ik6c.fy
carlos;alcaraz abril;carlosalcaraz_abril@invent.com;20/08/1955;$2y$10$NGA1svtiU8eKNCMR0NGQl.1.4kyWNEz2QjLgxUAdIDNONBWpYjDNK
jesus;clemente pla;jesusclemente_pla@invent.com;25/04/1998;$2y$10$.ePPyAQw13yfgGMNEuBFNOQFY4g5vf6e83zEcl4npEk7qB3zdu69G
